type>question>options>tone>answer
DATE>On what date did the project officially commence? Provide a date.>['Date']>verbose>The project officially began on October 1, 2006.
DATE>On what date did the project officially commence? Provide a date.>['Date']>concise>The project officially began on October 1, 2001.
DATE>On what date did the project officially commence? Provide a date.>['Date']>colloquial>The project officially began on January 1, 2006.
DATE>On what date did the project officially commence? Provide a date.>['Date']>explanatory>The project officially began on January 1, 2006.
DATE>On what date did the project officially commence? Provide a date.>['Date']>annoyed>The project officially began on March 1, 2019.
DATE>On what date was the training session conducted? Provide a date.>['Date']>verbose>The training session was held on March 2, 2001.
DATE>On what date was the training session conducted? Provide a date.>['Date']>concise>The training session was held on October 30, 2015.
DATE>On what date was the training session conducted? Provide a date.>['Date']>colloquial>The training session was held on January 30, 2018.
DATE>On what date was the training session conducted? Provide a date.>['Date']>explanatory>The training session was held on October 30, 2017.
DATE>On what date was the training session conducted? Provide a date.>['Date']>annoyed>The training session was held on October 10, 2001.
DATE>What date did the equipment malfunction?>['Date']>verbose>The equipment malfunctioned on January 1, 1999.
DATE>What date did the equipment malfunction?>['Date']>concise>The equipment malfunctioned on December 31, 1998.
DATE>What date did the equipment malfunction?>['Date']>colloquial>The equipment malfunctioned on January 23, 2004.
DATE>What date did the equipment malfunction?>['Date']>explanatory>The equipment malfunctioned on January 1, 2001.
DATE>What date did the equipment malfunction?>['Date']>annoyed>The equipment malfunctioned on December 7, 2009.
DATE>What date did the initial deployment occur? Provide a date.>['Date']>verbose>The initial deployment began on September 11, 2001.
DATE>What date did the initial deployment occur? Provide a date.>['Date']>concise>The first deployment took place on December 1, 2001.
DATE>What date did the initial deployment occur? Provide a date.>['Date']>colloquial>The initial deployment began on October 1, 2001.
DATE>What date did the initial deployment occur? Provide a date.>['Date']>explanatory>The initial deployment began on November 3, 2001.
DATE>What date did the initial deployment occur? Provide a date.>['Date']>annoyed>The initial deployment began on February 1, 2001.
DATE>What date did the issue begin? Provide a date.>['Date']>verbose>The issue began in the early part of the 20th century.
DATE>What date did the issue begin? Provide a date.>['Date']>concise>The issue began on January 1, 2001.
DATE>What date did the issue begin? Provide a date.>['Date']>colloquial>The issue began on September 29, 2001.
DATE>What date did the issue begin? Provide a date.>['Date']>explanatory>The issue began on November 20, 2000.
DATE>What date did the issue begin? Provide a date.>['Date']>annoyed>I don't know. I don't know. I don't know.
DATE>What date did the order ship? Provide a date.>['Date']>verbose>The order was shipped on December 15, 2001.
DATE>What date did the order ship? Provide a date.>['Date']>concise>The order was shipped on May 15, 2001.
DATE>What date did the order ship? Provide a date.>['Date']>colloquial>The order was shipped on October 31, 2001.
DATE>What date did the order ship? Provide a date.>['Date']>explanatory>The order was shipped on December 15, 2012.
DATE>What date did the order ship? Provide a date.>['Date']>annoyed>The order was shipped on May 29, 2001.
DATE>What date did the permit expire? Provide a date.>['Date']>verbose>The permit expired on July 1, 2017.
DATE>What date did the permit expire? Provide a date.>['Date']>concise>The permit expired on January 1, 2001.
DATE>What date did the permit expire? Provide a date.>['Date']>colloquial>The permit expires on July 1, 2018.
DATE>What date did the permit expire? Provide a date.>['Date']>explanatory>The permit expires on December 31, 2018.
DATE>What date did the permit expire? Provide a date.>['Date']>annoyed>The permit expires on January 1, 2020.
DATE>What date did the technical issue arise? Provide a date.>['Date']>verbose>The issue was a technical one.
DATE>What date did the technical issue arise? Provide a date.>['Date']>concise>The issue was a technical one.
DATE>What date did the technical issue arise? Provide a date.>['Date']>colloquial>The issue was resolved on March 15, 2017.
DATE>What date did the technical issue arise? Provide a date.>['Date']>explanatory>The issue was a technical one.
DATE>What date did the technical issue arise? Provide a date.>['Date']>annoyed>The problem was resolved on March 30, 2001.
DATE>What date did the training begin for the new software? Provide a date.>['Date']>verbose>The training began on January 1, 2001.
DATE>What date did the training begin for the new software? Provide a date.>['Date']>concise>The training began on January 1, 2001.
DATE>What date did the training begin for the new software? Provide a date.>['Date']>colloquial>The training began on January 1st.
DATE>What date did the training begin for the new software? Provide a date.>['Date']>explanatory>The training began on January 1, 2002.
DATE>What date did the training begin for the new software? Provide a date.>['Date']>annoyed>The training began on April 1, 2001.
DATE>What date did the training session conclude? Provide a date.>['Date']>verbose>The training session concluded on March 18, 2019.
DATE>What date did the training session conclude? Provide a date.>['Date']>concise>The training session ended on March 30, 2018.
DATE>What date did the training session conclude? Provide a date.>['Date']>colloquial>The training session ended on March 23, 2018.
DATE>What date did the training session conclude? Provide a date.>['Date']>explanatory>The training session was concluded on June 12, 2001.
DATE>What date did the training session conclude? Provide a date.>['Date']>annoyed>The training session ended on March 20, 2018.
DATE>What date did you attend the webinar? Provide a date.>['Date']>verbose>I attended the webinar on January 10, 2001.
DATE>What date did you attend the webinar? Provide a date.>['Date']>concise>I attended the webinar on February 18, 2001.
